,timestamp,student_id,f1,f2,f3,f4,f5,f6,f7,f8,f1_output,f2_output,f3_output,f4_output,f5_output,f6_output,f7_output,f8_output
34,2022-08-16 16:38:37,039,[0.162953 0.235233],[0.680295 0.716578],[0.933075 0.274083 0.195291],[0.948059 0.28211  0.552176 0.806528],[0.860016 0.789888 0.3443   0.319612],[0.399942 0.665686 0.85164  0.187471 0.941284],[0.612237 0.075367 0.973    0.725962 0.03604  0.896451],[0.318024 0.440679 0.578311 0.852154 0.692732 0.841126 0.850333 0.550839],-7.020093256405012e-72,0.671527050898037,-0.13856322485296518,-23.035419080866877,173.2413047851474,-1.9331222332571505,0.2501389189168522,7.7562404299699
35,2022-08-10 13:43:32,039,[0.144782 0.781916],[0.624527 0.723514],[0.544103 0.416348 0.685651],[0.689608 0.536156 0.709947 0.773986],[0.423709 0.505465 0.247382 0.167307],[0.955916 0.637322 0.405693 0.295964 0.370861],[0.908103 0.072317 0.535575 0.631722 0.071571 0.769214],[0.538938 0.455089 0.881754 0.590934 0.268372 0.990556 0.06335  0.40463 ],-6.62033249568733e-146,0.061309275075218064,-0.11376679139481638,-16.86955758987668,95.30885250199758,-1.8172614084647383,0.11927606624460596,7.208639801469
36,2022-08-02 15:52:48,039,[0.437643 0.04885 ],[0.376545 0.700455],[0.406108 0.867223 0.394085],[0.181123 0.127105 0.392474 0.192973],[0.413978 0.837645 0.484478 0.357563],[0.644154 0.209799 0.533624 0.547706 0.751817],[0.38379  0.455399 0.405167 0.855484 0.283322 0.914222],[0.770229 0.182035 0.021205 0.815079 0.891794 0.305932 0.141004 0.309955],-1.2205521058323495e-97,0.05809111882121851,-0.049988444445727837,-9.60734409922149,11.814385085946038,-1.258450348911243,0.09090484824887309,8.5654716775005
37,2022-07-23 13:33:36,039,[0.076284 0.382069],[0.401989 0.032124],[0.096219 0.115232 0.479548],[0.065093 0.840091 0.900031 0.398123],[0.115158 0.368035 0.245599 0.478661],[0.274682 0.307948 0.7982   0.1163   0.508588],[0.182038 0.491272 0.36794  0.925352 0.344823 0.141612],[0.226346 0.119837 0.3241   0.91734  0.05672  0.621779 0.346866 0.96949 ],-2.122473037530559e-87,0.022463756972269516,-0.05109218851183669,-24.515096309387413,110.92658226684894,-1.309655649739962,0.10612120281967304,8.917474230436
38,2022-07-12 14:42:40,039,[0.138299 0.636602],[0.021791 0.61154 ],[0.344049 0.233572 0.558399],[0.217445 0.415403 0.085294 0.540714],[0.257107 0.770123 0.563646 0.734168],[0.772773 0.38496  0.564791 0.043552 0.38782 ],[0.300419 0.391826 0.405909 0.7149   0.569963 0.54284 ],[0.373864 0.776057 0.685745 0.692303 0.666659 0.809662 0.984879 0.624326],-2.9396335690142675e-89,-0.09300350685021291,-0.054665964500671176,-8.645587404758189,59.01291753818223,-1.4602892995107704,0.1813324509016436,6.9004898627809
39,2022-07-11 08:49:29,039,[0.875725 0.519935],[0.478532 0.198954],[0.738759 0.443114 0.472892],[0.83128  0.319686 0.741926 0.33666 ],[0.769346 0.227921 0.514953 0.585032],[0.437749 0.505632 0.040065 0.9469   0.851731],[0.735735 0.659456 0.071823 0.879193 0.487698 0.596572],[0.17267  0.960475 0.39703  0.899827 0.999431 0.777953 0.411718 0.552652],1.4322591623663653e-51,0.38769809677707784,-0.00501819101379976,-16.22736254919003,4.855614077536368,-1.6771010439121854,0.009739703682324378,8.3693953854981
40,2022-07-06 12:21:44,039,[0.2 0.2],[0.2 0.2],[0.2 0.2 0.2],[0.2 0.2 0.2 0.2],[0.2 0.2 0.2 0.2],[0.2 0.2 0.2 0.2 0.2],[0.2 0.2 0.2 0.2 0.2 0.2],[0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2],4.933547575619245e-69,-0.018268845458366826,-0.1578214577028628,-9.992537829880174,156.48946258559997,-1.501724910199932,0.4081092157295297,9.6743
67,2022-08-22 11:14:00,039,[0.129288 0.831702],[0.280806 0.018077],[0.966464 0.27226  0.695956],[0.73799  0.745262 0.053609 0.934316],[0.426087 0.149993 0.383941 0.361883],[0.926123 0.47991  0.760966 0.717199 0.742091],[0.562165 0.240923 0.00656  0.76275  0.088428 0.423784],[0.655364 0.665039 0.683673 0.123324 0.815266 0.995929 0.432052 0.824997],-2.6570522407276655e-177,-8.07965749999826e-05,-0.1385398908760096,-28.202233219234618,111.65500204922431,-1.4136912441861993,0.05789495086785443,7.8386827768961
75,2022-08-31 13:54:26,039,[0.845334 0.76684 ],[0.054692 0.557501],[0.894967 0.172436 0.450133],[0.992374 0.562998 0.940626 0.076995],[0.232552 0.59984  0.796772 0.256732],[0.905296 0.391332 0.222624 0.679946 0.527705],[0.383818 0.342595 0.819245 0.853452 0.619091 0.06529 ],[0.552031 0.810393 0.177679 0.424254 0.25239  0.795255 0.647439 0.985824],-1.1980504755312874e-46,0.07753182176614638,-0.030243772789270155,-32.087331764795536,3.9901019163986957,-1.4976144030820406,0.13810430688540895,8.4207787135754
79,2022-09-07 11:40:17,039,[0.968071 0.129761],[0.662476 0.7075  ],[0.265834 0.117918 0.084638],[0.279358 0.872118 0.796775 0.929038],[0.334875 0.053186 0.404946 0.525492],[0.496396 0.127559 0.340777 0.694317 0.588973],[0.226757 0.51463  0.361855 0.079728 0.611142 0.800714],[0.044331 0.145337 0.750112 0.231976 0.879317 0.450951 0.362692 0.95818 ],5.043584224709935e-254,0.438148893524389,-0.09372639329029057,-28.844151339612505,88.01435103138469,-1.0691608752917134,0.4243114145100164,8.7621253764875
